Location,Location_Unique,Status,Reviewer,Rating,Relative time,Scraping time,Review,Translated_Review,Cleaned_Review
Gaasperplas,Gaasperplas,official,Diazepam,4 stars,3 weeks ago,"2023-11-13,00:10:35",,,
Gaasperplas,Gaasperplas,official,Misier Warsha,5 stars,a month ago,"2023-11-13,00:10:35",,,
Gaasperplas,Gaasperplas,official,Gisela Zabala,5 stars,a month ago,"2023-11-13,00:10:35",Hermoso  parque  muy tranquilo,"Beautiful park, very quiet","beautiful park, very quiet"
Gaasperplas,Gaasperplas,official,kazik szerszen,5 stars,a month ago,"2023-11-13,00:10:35",Polecam,Polecam,polecam
Gaasperplas,Gaasperplas,official,Jacek Lipiec,5 stars,a month ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Hagar Donners,5 stars,2 months ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Hugo Leitão,5 stars,2 months ago,"2023-11-13,00:10:36","Beautiful area of Amsterdam. Near Krainnest and Biljmer Arena. Also a nice camping park, river and soul rounding","Beautiful area of Amsterdam. Near Krainnest and Biljmer Arena. Also a nice camping park, river and soul rounding","beautiful area of amsterdam. near krainnest and biljmer arena. also a nice camping park, river and soul rounding"
Gaasperplas,Gaasperplas,official,SebastianGompka,5 stars,2 months ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Caro,4 stars,2 months ago,"2023-11-13,00:10:36",Lovely Lake,Lovely Lake,lovely lake
Gaasperplas,Gaasperplas,official,Kevin Scott,4 stars,2 months ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Riccardo Corinna,5 stars,3 months ago,"2023-11-13,00:10:36","Home, the lake is full of beaches, perfect for a walk in the woods","Home, the lake is full of beaches, perfect for a walk in the woods","home, the lake is full of beaches, perfect for a walk in the woods"
Gaasperplas,Gaasperplas,official,Wróżka Anna,5 stars,3 months ago,"2023-11-13,00:10:36","Piękne i odpowiednie miejsce na odpoczynek na łonie natury lub integrację w grupie, na spacery samotne lub z drugą osobą, na piknik i bieganie, czysto, zielono i blisko zwierząt","A beautiful and suitable place to relax in nature or integrate in a group, to walk alone or with another person, to picnic and run, clean, green and close to animals","a beautiful and suitable place to relax in nature or integrate in a group, to walk alone or with another person, to picnic and run, clean, green and close to animals"
Gaasperplas,Gaasperplas,official,Angela Raalte,5 stars,3 months ago,"2023-11-13,00:10:36",Heerlijk om te zwemmen......,Great for swimming......,great for swimming......
Gaasperplas,Gaasperplas,official,Domi Verhagen Domi Verhagen,5 stars,3 months ago,"2023-11-13,00:10:36",Het honden strandje is goud waard,The dog beach is golden,the dog beach is golden
Gaasperplas,Gaasperplas,official,Gustavo Delatorre,5 stars,4 months ago,"2023-11-13,00:10:36",Relaxed atmosphere and enjoyable scenary.,Relaxed atmosphere and enjoyable scenary.,relaxed atmosphere and enjoyable scenary.
Gaasperplas,Gaasperplas,official,farhad nl,5 stars,4 months ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,S Ranjkar,5 stars,4 months ago,"2023-11-13,00:10:36",Great pace to be with friends and family,Great pace to be with friends and family,great pace to be with friends and family
Gaasperplas,Gaasperplas,official,Anita Gobardhan,4 stars,5 months ago,"2023-11-13,00:10:36",Rustige plaats,Quiet place,quiet place
Gaasperplas,Gaasperplas,official,Jane,3 stars,5 months ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Iris Vuurmans,4 stars,7 months ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Mateusz Mateusz,5 stars,7 months ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,lady vmg,4 stars,8 months ago,"2023-11-13,00:10:36","Agradable lugar para visitar en primavera y verano, vista muy relajada","Nice place to visit in spring and summer, very relaxing view.","nice place to visit in spring and summer, very relaxing view."
Gaasperplas,Gaasperplas,official,Magna Drowaa Fokuo,4 stars,10 months ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Iris Homer,5 stars,a year ago,"2023-11-13,00:10:36",As advertised. A lake. Pretty good one at that,As advertised. A lake. Pretty good one at that,as advertised. a lake. pretty good one at that
Gaasperplas,Gaasperplas,official,Jan Javurek,5 stars,a year ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Nancy Castro,5 stars,a year ago,"2023-11-13,00:10:36","Hermoso parque,tranquilo,seguro,la gente pesca y nada...se observan aves y peces!recomendado para visitar como tantos parques naturales de esta bella Ámsterdam ","Beautiful park, quiet, safe, people fish and swim...you can see birds and fish! recommended to visit as many natural parks of this beautiful Amsterdam.","beautiful park, quiet, safe, people fish and swim...you can see birds and fish! recommended to visit as many natural parks of this beautiful amsterdam."
Gaasperplas,Gaasperplas,official,RJ Lackie,5 stars,a year ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,V,5 stars,a year ago,"2023-11-13,00:10:36","Heerlijk zwemmen, wandelen, hond uitlaten en genieten van natuur!","Lovely swimming, hiking, walking the dog and enjoying nature!","lovely swimming, hiking, walking the dog and enjoying nature!"
Gaasperplas,Gaasperplas,official,Angelique Deshield,5 stars,a year ago,"2023-11-13,00:10:36",,,
Gaasperplas,Gaasperplas,official,Trinity Picault,5 stars,a year ago,"2023-11-13,00:10:37",Great!,Great!,great!
Gaasperplas,Gaasperplas,official,Rilana Habets,5 stars,a year ago,"2023-11-13,00:10:37",,,
