reviews,Lat,Long,Sentiment_Score,O2_mg/l,O2_%,T_oC,ZICHT_m,INTTNLETRCCN_nKVE/dl,E_COLI_nKVE/dl,CHLFa_ug/l_blauwalg,FG,TG,SQ,DR,RH,Amenities_Score,Normalized_Amenities_Score,review_datetime_utc,Location_Unique,Status,Translated_Review,name
193.0,52.3069241,4.9864444,0.5994,7.80532542197794,77.37589781891529,17.65857114628983,1.1554581756232976,193.13650971892184,328.8814206339361,6.2570057379479564,3.4,15.3,2.1,0.0,0.0,5.0,0.36,1717.0,4.0,0.0,444.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,7.012561437804251,258.6386833277568,18.4,1.0,390.0,440.0,6.4678888240317205,8.2,18.6,1.8,0.0,0.0,5.0,0.36,1703.0,4.0,0.0,2286.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7717,6.318876206228765,77.05290197590148,23.60896496183807,1.0339887007900064,193.0256530321908,328.92669753013774,6.257181592297028,2.8,24.7,11.6,0.0,0.0,5.0,0.36,1693.0,4.0,0.0,326.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5859,5.885958675410578,880.0909015919622,22.5,1.0,20.0,670.0,7.265183782351031,3.5,18.8,9.1,0.0,0.0,5.0,0.36,1678.0,4.0,0.0,1594.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5719,7.381979527202077,166.71884849376158,18.0,1.0,60.0,350.0,2.0,7.5,16.0,8.1,1.2,1.9,5.0,0.36,1663.0,4.0,0.0,1299.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8176,6.88541512700732,76.95217425359522,17.54528120233664,1.0127951187288078,193.19270110788375,328.8287516403036,6.256741435360426,7.8,18.0,0.6,7.3,16.8,5.0,0.36,1660.0,4.0,0.0,21.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6249,7.1145586921849855,77.04033732034713,20.329609332368022,1.1172847917089648,193.1220277293237,328.91739187005794,6.256868785281992,4.9,19.5,1.6,0.0,-0.1,5.0,0.36,1657.0,4.0,0.0,1122.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,7.4690681923065725,77.83896862348865,18.76677980341975,1.106455027110937,193.05726892465418,328.8766503774672,6.257624387180495,3.0,18.0,8.9,0.0,-0.1,5.0,0.36,1648.0,4.0,0.0,2673.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7269,7.2171093797471,77.94923542860624,17.021608347803692,1.1220851078967202,193.1023066306534,328.8654865972318,6.257687686018738,6.7,17.5,0.4,6.2,5.5,5.0,0.36,1631.0,4.0,0.0,2366.0,Gaasperplas
193.0,52.3069241,4.9864444,0.802,6.839579383097551,77.50134569649083,21.212977413263445,1.0432687771638278,193.01948064107546,328.8840383032913,6.257466666937113,2.8,21.5,14.9,0.0,0.0,5.0,0.36,1624.0,4.0,0.0,1144.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,7.726000670461886,78.00460530530711,17.412686131897942,1.1133145025990148,193.07051381622523,328.8580737398047,6.257686938536476,4.3,16.3,8.8,0.0,0.0,5.0,0.36,1596.0,4.0,0.0,2317.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7425,9.730352142864461,79.41787012297823,6.775379758943757,1.2789076967884823,193.15047662813822,328.74097745701806,6.258388245957878,4.2,2.2,0.5,6.4,3.4,5.0,0.36,1551.0,4.0,0.0,2008.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7269,8.135646048366524,77.4994647694665,15.180584783523386,1.1343763457838705,193.17922265424386,328.8346525431978,6.2569525604791005,7.0,12.5,2.3,0.7,3.1,5.0,0.36,1486.0,4.0,0.0,273.0,Gaasperplas
193.0,52.3069241,4.9864444,0.9359,9.0,89.0,15.3,4.5,188.34690119713196,328.76108592080334,0.8,6.3,13.3,10.1,0.0,0.0,5.0,0.36,1462.0,4.0,0.0,442.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8172,7.206045452314292,77.44174465249182,18.444058649717192,1.0764455142335185,193.10365254212957,328.85902191136165,6.257230553904363,4.2,18.0,6.4,3.2,5.7,5.0,0.36,1440.0,4.0,0.0,1705.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6588,7.53699302566087,77.36837019413838,18.673948526467257,1.127884625000906,193.10965034843093,328.88500967587186,6.257088853996615,3.3,17.0,4.9,0.0,0.0,5.0,0.36,1430.0,4.0,0.0,1258.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6369,9.1,109.0,24.2,3.3,183.26551006697537,328.93498896053916,0.9,2.8,22.2,4.2,0.8,1.3,5.0,0.36,1419.0,4.0,0.0,3249.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,7.767982634226762,78.13060839095544,17.185844882096774,1.106467349860429,193.05680294533659,328.84853523161337,6.257807662152834,4.0,16.1,10.8,0.0,0.0,5.0,0.36,1379.0,4.0,0.0,3321.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7906,7.493402414935353,77.8151272924897,18.204543602975207,1.0773479830227117,193.05437967078524,328.848860182257,6.257544395466044,4.3,17.3,13.4,0.0,0.0,5.0,0.36,1378.0,4.0,0.0,1584.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5859,7.282146353146729,77.66965298516675,19.609258526585563,1.0805945702093913,193.03945941800066,328.8718057251137,6.257511765560134,1.9,18.9,12.8,0.0,0.0,5.0,0.36,1364.0,4.0,0.0,1695.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6361,7.999738473804783,78.11998225530328,15.439555912735841,1.109210851764983,193.09525300777204,328.823134147412,6.257640745207625,7.2,13.9,9.8,0.5,0.4,5.0,0.36,1350.0,4.0,0.0,2452.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7506,7.955000911427064,77.81451540193189,15.781986194476076,1.1245497020249262,193.1296942648769,328.84081449664075,6.257325427310411,8.0,14.0,5.7,0.3,0.2,5.0,0.36,1348.0,4.0,0.0,394.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,7.991734359838219,77.97215358576761,15.604452428018135,1.1266206058717394,193.1208811259653,328.84017208121185,6.2574865219764275,8.0,14.0,5.7,0.3,0.2,5.0,0.36,1348.0,4.0,0.0,3245.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,8.15097351692664,77.67725819709506,16.158569420561037,1.1707155156558118,193.13575860433775,328.8607819789779,6.25720689261428,3.3,13.3,2.8,0.0,-0.1,5.0,0.36,1314.0,4.0,0.0,167.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,8.959018617138604,78.73916940764627,12.206350100230736,1.1683419438504918,193.09230500703143,328.7833390328618,6.258039347623429,3.5,8.7,10.9,0.0,0.0,5.0,0.36,1296.0,4.0,0.0,2210.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,11.9,94.0,5.9,4.0,206.46905815283026,328.6706487529537,0.5,8.1,6.4,6.9,0.2,0.2,5.0,0.36,1272.0,4.0,0.0,2317.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4588,8.687805868719792,79.0385143973208,8.676068283810423,1.141257684930526,193.17145348172517,328.73585399825106,6.2582136357599305,12.3,7.4,1.0,8.2,10.6,5.0,0.36,1271.0,4.0,0.0,266.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,8.72854606795918,79.06308070332625,11.430277550450626,1.2323487369333979,193.10472180373517,328.81081117778757,6.258388718527478,4.7,9.2,0.0,5.2,1.9,5.0,0.36,1251.0,4.0,0.0,2480.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7783,7.636522429068144,77.48600669517339,17.073938042179293,1.1198368803871128,193.13821533257124,328.85947873956155,6.257116843728717,5.8,15.6,3.1,1.8,3.0,5.0,0.36,1209.0,4.0,0.0,1774.0,Gaasperplas
193.0,52.3069241,4.9864444,-0.2057,7.789373323707778,77.9350984943402,17.358446324781028,1.1339584891936143,193.08756245099767,328.86907235507056,6.257605258038356,4.0,16.0,5.7,0.0,0.0,5.0,0.36,1201.0,4.0,0.0,3052.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7717,7.680834580413126,77.37821259826808,17.854510113623064,1.1363711992644232,193.1294908569298,328.8771401887109,6.257026047295352,4.5,15.9,3.6,0.1,0.1,5.0,0.36,1180.0,4.0,0.0,2642.0,Gaasperplas
193.0,52.3069241,4.9864444,0.25,7.41277888555291,77.84935251984791,18.82425209252756,1.0883887996709198,193.04706351088225,328.86710828030186,6.257641161788188,3.3,18.2,11.4,0.0,0.0,5.0,0.36,1147.0,4.0,0.0,3219.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7564,7.33633159848884,77.42879426705542,19.424530838180317,1.099818993388249,193.07719206860384,328.88147056179645,6.25722439067364,2.8,18.3,8.8,0.0,0.0,5.0,0.36,1144.0,4.0,0.0,2344.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8553,8.48761860014951,77.97531852641339,13.610479932366331,1.158151384037069,193.15390408445728,328.81260832669153,6.257326394330805,6.5,10.5,4.8,0.9,1.3,5.0,0.36,1099.0,4.0,0.0,2777.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,9.094968739393252,78.55060595706288,11.511382396251577,1.1818173425337362,193.12804382413788,328.778484781155,6.257768267111838,4.4,7.4,8.6,0.2,0.3,5.0,0.36,1080.0,4.0,0.0,1936.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7016,9.105492645695229,78.42221009805189,10.924955287523574,1.1799846380908257,193.16473275281624,328.7769451125679,6.257561109479476,8.3,6.9,6.0,0.0,-0.1,5.0,0.36,1057.0,4.0,0.0,114.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8225,12.0,98.0,6.4,3.0,191.9718639553089,328.681105701795,0.5,3.3,5.6,9.2,0.0,-0.1,5.0,0.36,1038.0,4.0,0.0,827.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6908,8.6,68.0,4.9,0.3,189.50383157391434,328.69045429835205,6.2470235238351135,5.0,8.2,0.0,7.4,13.2,5.0,0.36,1021.0,4.0,0.0,1880.0,Gaasperplas
193.0,52.3069241,4.9864444,0.3182,10.038662320910618,78.48707546843923,8.52110954175373,1.2855104612337787,193.2096300355738,328.77123371950256,6.2574260079909045,2.0,1.6,0.0,0.0,0.0,5.0,0.36,1018.0,4.0,0.0,968.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,9.059836845859707,78.54218601641685,8.639153048777189,1.142376019979615,193.20972434929354,328.72053372925814,6.257709913128556,5.3,5.3,1.3,7.5,15.6,5.0,0.36,1005.0,4.0,0.0,2903.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,8.87410462570788,78.57300476759178,11.51747275612945,1.1842357099843568,193.14864132750108,328.7921253519479,6.257829414649039,6.6,8.4,3.1,2.0,2.6,5.0,0.36,990.0,4.0,0.0,2326.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7717,8.441940649794745,78.01470857139657,13.474869632013792,1.1853604014386727,193.16475654115675,328.82706386624517,6.257371094166915,6.7,10.6,0.4,2.2,1.6,5.0,0.36,988.0,4.0,0.0,372.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8126,8.678052751290288,77.83008487831103,13.779850524563244,1.1924193704712263,193.1639288598608,328.82620529479993,6.257161308100924,4.0,9.7,3.1,0.0,-0.1,5.0,0.36,977.0,4.0,0.0,1574.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5859,7.832041454661834,77.47187561109104,13.292886302445197,1.042985054189991,193.22422758641687,328.76427655819657,6.256963921435167,7.6,12.0,1.4,7.7,18.9,5.0,0.36,973.0,4.0,0.0,1720.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7964,7.888242828042891,77.9542820263764,16.34811101726939,1.1013556613426205,193.08493500034047,328.8304219207603,6.257530899083123,5.7,14.7,11.4,0.0,0.0,5.0,0.36,959.0,4.0,0.0,1713.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,7.720653428536622,77.8617113040898,16.803820243723976,1.125847485686588,193.1205628786297,328.867231758528,6.257471950062943,8.4,15.9,2.9,0.3,0.2,5.0,0.36,888.0,4.0,0.0,244.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,9.505840504829962,-545.9859765948471,14.2,1.0,30.0,20.0,5.494750182359678,4.8,7.8,6.8,0.5,0.2,5.0,0.36,854.0,4.0,0.0,1793.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6361,8.915350852804252,78.30785672333616,12.179944650885375,1.1755663757239665,193.1440427914913,328.7914911753012,6.2575505031726655,5.8,8.3,7.0,0.0,0.0,5.0,0.36,844.0,4.0,0.0,1754.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,8.622452085555253,77.63421547925384,12.106983404944287,1.1086879678798072,193.2401158949251,328.7750698498995,6.256917540070545,8.2,8.8,0.8,2.3,10.9,5.0,0.36,838.0,4.0,0.0,165.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4754,9.504868134186381,78.95907965657045,9.088418419896414,1.209673057135224,193.13786152203602,328.74845407249035,6.258028971034429,4.8,4.5,7.5,1.8,1.4,5.0,0.36,834.0,4.0,0.0,2980.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5994,8.530012719021663,77.96443836492597,13.200138573605216,1.1691254226783077,193.18349436036488,328.82292355827815,6.257256408063329,10.1,10.3,0.9,0.2,0.1,5.0,0.36,824.0,4.0,0.0,637.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8481,9.54886369334028,78.57442292904386,9.671387466884312,1.2065915501042497,193.1587178058262,328.7542688151191,6.257622988473373,4.6,4.3,8.2,0.0,0.0,5.0,0.36,820.0,4.0,0.0,1503.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,8.674264901895945,78.9349247543812,10.713310562663423,1.1909934318014788,193.13688031326274,328.7851015476287,6.258229226360701,7.0,8.8,0.0,6.2,6.2,5.0,0.36,819.0,4.0,0.0,2162.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,9.452728749396243,78.33125608677096,11.016215420561252,1.254951919354773,193.17814848974422,328.80428644378475,6.257477977818964,1.8,5.5,0.4,0.0,0.0,5.0,0.36,813.0,4.0,0.0,1557.0,Gaasperplas
193.0,52.3069241,4.9864444,0.9186,8.841677669056168,78.8406626271061,10.38913569200929,1.224905918973108,193.14279038848736,328.78910832343195,6.258051295135371,6.9,7.6,0.0,5.6,2.6,5.0,0.36,798.0,4.0,0.0,1008.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,8.367745578085085,79.23766536515745,10.918384814005378,1.180969085729707,193.10198105267136,328.78483658354224,6.258624911340268,6.9,10.3,0.2,8.9,8.0,5.0,0.36,780.0,4.0,0.0,2274.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,9.58015963981586,78.48704335248931,9.8684436006115,1.2496386382614988,193.19319373257167,328.7886928430244,6.257545077935937,4.9,4.5,0.0,0.0,0.0,5.0,0.36,774.0,4.0,0.0,2128.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6249,8.486046418535857,78.35503161056477,12.76194382757069,1.1859402838615036,193.13578988332256,328.80739442044137,6.257739412529042,3.8,10.1,2.0,4.6,4.6,5.0,0.36,764.0,4.0,0.0,1103.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6124,8.629802538796206,78.13840598220122,13.399281743278607,1.1828347553699503,193.14185418331635,328.81745839348383,6.257481259780754,4.9,10.0,4.3,0.8,0.3,5.0,0.36,759.0,4.0,0.0,2250.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,8.530365124951288,77.91292399512281,14.62369401199345,1.187330781029086,193.13803404072632,328.83741303839304,6.25733267238477,2.6,11.0,3.9,0.0,-0.1,5.0,0.36,755.0,4.0,0.0,1873.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8834,8.395423576564284,78.12584699522017,13.565766339178197,1.1494214476247624,193.1312464101611,328.80224779426914,6.257529707004883,4.5,10.8,6.3,2.7,3.6,5.0,0.36,738.0,4.0,0.0,329.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4927,5.1,51.0,15.2,0.6,202.09824494247368,328.78182632584196,6.228027104016145,6.0,15.6,0.0,7.9,8.3,5.0,0.36,718.0,4.0,0.0,2926.0,Gaasperplas
193.0,52.3069241,4.9864444,0.9686,9.7,120.0,26.4,4.0,184.36489736092926,328.95535357577927,0.5,2.2,25.1,12.2,0.2,0.2,5.0,0.36,704.0,4.0,0.0,1135.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,7.253781394098645,77.7532199801525,19.32337954420035,1.0907917523279256,193.06145942897,328.88539625170984,6.257576473808138,5.0,19.2,8.1,0.0,-0.1,5.0,0.36,683.0,4.0,0.0,2624.0,Gaasperplas
193.0,52.3069241,4.9864444,0.906,7.235040030343534,77.56650281915029,19.357755182111873,1.0699589888582555,193.05854324301254,328.86735474484385,6.25737007091784,4.4,18.8,12.2,0.0,0.0,5.0,0.36,667.0,4.0,0.0,2631.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5994,7.269262076174158,77.71336355194887,19.192359093397044,1.0718883085769813,193.05033264322356,328.866756250251,6.257520151819088,4.4,18.8,12.2,0.0,0.0,5.0,0.36,667.0,4.0,0.0,530.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5719,7.0726091825152295,77.62116054070816,19.929018836507908,1.061360641257119,193.0477341137871,328.87751658017527,6.2574829264838385,5.0,20.0,11.8,0.0,0.0,5.0,0.36,648.0,4.0,0.0,3166.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,8.182123051253548,77.78343970506432,16.08086884485033,1.1636063011832558,193.11899181557783,328.85216796029096,6.257320601943259,2.4,13.2,5.1,0.0,0.0,5.0,0.36,612.0,4.0,0.0,2109.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,9.057758035991228,78.1242503638532,12.251843187387465,1.2183439331079988,193.1703749109338,328.81176946900155,6.257353716505595,3.7,7.6,2.1,0.0,-0.1,5.0,0.36,595.0,4.0,0.0,1923.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4754,7.888483217686236,78.1132438834286,16.673480152025775,1.1021053774779324,193.05659341684122,328.83160454014734,6.2577413031861235,3.5,15.1,13.2,0.0,0.0,5.0,0.36,580.0,4.0,0.0,2980.0,Gaasperplas
193.0,52.3069241,4.9864444,0.802,7.566483956629909,77.85505244353033,17.80367499882709,1.0798349052620733,193.05977184528456,328.84392098161635,6.2575522692086265,4.8,16.8,13.2,0.0,0.0,5.0,0.36,579.0,4.0,0.0,60.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8622,8.937851166683679,78.94095771165905,9.567191992878861,1.1528171535865779,193.13544537454982,328.74077605819616,6.258100158307866,9.0,6.9,7.7,4.4,4.8,5.0,0.36,554.0,4.0,0.0,2944.0,Gaasperplas
193.0,52.3069241,4.9864444,0.764,8.843076739536315,78.53900940230642,10.506935529428631,1.181971334882621,193.17955355126833,328.7819215036027,6.257695639351906,11.3,7.7,1.1,2.9,2.2,5.0,0.36,550.0,4.0,0.0,3043.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6588,9.305843410717529,78.69553233579154,9.262148016498543,1.177402184712518,193.17512987811597,328.7504769998607,6.257737356468356,10.2,5.3,5.9,1.0,1.4,5.0,0.36,549.0,4.0,0.0,1216.0,Gaasperplas
193.0,52.3069241,4.9864444,0.1548,9.303636506554994,78.51709178671194,10.813816287402346,1.2140000734427048,193.16023698153185,328.78636298601873,6.2576633931357,5.0,6.2,4.1,0.0,0.0,5.0,0.36,533.0,4.0,0.0,24.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5859,8.787381729414157,79.58222809388099,9.190040096828568,1.2284979261186093,193.1033661065435,328.7790204261793,6.2587765720251936,10.2,7.9,0.0,7.5,1.9,5.0,0.36,531.0,4.0,0.0,1627.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6361,9.509288766086392,78.39920048391991,10.112203339325958,1.2483197357059268,193.17993029893432,328.78200491572306,6.25748816445126,2.4,4.5,2.0,1.2,0.9,5.0,0.36,501.0,4.0,0.0,124.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8122,8.626830581877336,78.62349680082707,8.071420783100848,1.111400124079358,193.2107485133779,328.69835191396714,6.257845500713734,6.8,6.2,0.1,12.8,21.5,5.0,0.36,478.0,4.0,0.0,461.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6243,8.647803583872033,78.71350049193256,7.970057687636086,1.1125825088645787,193.2057166422087,328.6979851261851,6.2579374778870696,6.8,6.2,0.1,12.8,21.5,5.0,0.36,478.0,4.0,0.0,2144.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,9.47084711567242,78.97012258443783,9.639604333830505,1.1943925357339156,193.1306984742855,328.75562732676696,6.258063164975196,6.0,5.3,8.7,0.0,0.0,5.0,0.36,476.0,4.0,0.0,2260.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4404,8.027748669543548,77.84811496683176,16.578514412802804,1.1419549647678418,193.09644865432892,328.84973960925595,6.257437613200164,2.5,14.2,7.7,0.0,0.0,5.0,0.36,469.0,4.0,0.0,1050.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5719,7.153094031016785,77.34448750469971,19.64307415609227,1.1160508455014293,193.1002282629488,328.9016644627907,6.25717353108892,4.0,19.1,3.0,1.5,1.3,5.0,0.36,419.0,4.0,0.0,2241.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7717,5.964746718661729,287.28147299260525,24.8,1.0,90.0,410.0,6.525321528860556,2.7,24.6,8.5,0.0,0.0,5.0,0.36,401.0,4.0,0.0,1282.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,7.0923234713577585,77.66186343801235,20.151828844432885,1.067452595568974,193.03575180774533,328.880566638468,6.257550858747519,3.3,20.1,12.3,0.0,0.0,5.0,0.36,396.0,4.0,0.0,1951.0,Gaasperplas
193.0,52.3069241,4.9864444,0.4215,7.119258271833225,77.6522815319396,20.009003013330926,1.0705678866320412,193.04166497582173,328.88053804683426,6.25752692639207,3.6,19.9,11.7,0.0,0.0,5.0,0.36,395.0,4.0,0.0,2125.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5244,8.350140908398508,-543.5290311236421,19.19152487474571,1.1689405062107143,15.0,20.0,5.4997556943223085,3.0,17.8,0.0,0.1,0.1,5.0,0.36,355.0,4.0,0.0,2995.0,Gaasperplas
193.0,52.3069241,4.9864444,0.8442,7.176260623660696,77.45142996819959,19.770041360706216,1.078998328859445,193.06655168659654,328.8800566692442,6.257278130162178,4.1,19.2,10.3,0.0,-0.1,5.0,0.36,339.0,4.0,0.0,400.0,Gaasperplas
193.0,52.3069241,4.9864444,0.5994,9.24828125185406,78.54836981083076,9.546559594647817,1.1910657260635977,193.18969958968046,328.76205189238703,6.257618119080112,9.1,5.5,2.9,1.8,2.6,5.0,0.36,269.0,4.0,0.0,497.0,Gaasperplas
193.0,52.3069241,4.9864444,0.7783,7.877745491521161,77.9825505865333,15.826043331679614,1.1314668989342813,193.1092543744735,328.8424256902984,6.257530423879329,7.0,14.4,5.8,1.5,0.5,5.0,0.36,213.0,4.0,0.0,2313.0,Gaasperplas
193.0,52.3069241,4.9864444,0.6249,7.808805679365307,78.42368511965162,15.671472138415425,1.1489693014894335,193.05992834805238,328.8398653437301,6.258048598741687,3.5,14.8,6.6,4.2,1.9,5.0,0.36,206.0,4.0,0.0,543.0,Gaasperplas
193.0,52.3069241,4.9864444,0.0,9.293326499653112,79.46167543936042,8.07199331622337,1.241350509694274,193.13012221699455,328.7533993222768,6.2585916165159,4.6,5.0,0.2,7.4,6.2,5.0,0.36,102.0,4.0,0.0,1538.0,Gaasperplas
193.0,52.3069241,4.9864444,0.9398,8.683804132730572,77.68200527749104,13.559070642180302,1.1976061302979453,193.1919702491814,328.83000772173864,6.256974609864197,5.7,9.4,0.5,0.0,0.0,5.0,0.36,78.0,4.0,0.0,1007.0,Gaasperplas
39.0,52.3060961,4.9879584,0.9169,6.829435295209748,-159.76052739167181,23.9,1.0,15.0,180.0,0.5,3.8,20.0,14.2,0.0,0.0,4.0,0.29,1640.0,4.0,0.0,2287.0,Gaasperplas strand
39.0,52.3060961,4.9879584,-0.34,7.589523736965447,78.10422597199988,18.274165678527538,1.1082844162010774,202.5928459473771,316.05611943657664,6.4094129279590994,3.3,17.0,4.9,0.0,0.0,4.0,0.29,1430.0,4.0,0.0,1810.0,Gaasperplas strand
39.0,52.3060961,4.9879584,0.6361,7.188798466635703,77.40731485032654,19.91550136968931,1.0928772274562393,202.6279116979117,316.07896346710083,6.408777936803216,4.5,18.7,2.8,0.0,0.0,4.0,0.29,1429.0,4.0,0.0,238.0,Gaasperplas strand
