name,reviews,review_datetime_utc,Location_Unique,Status,Lat,Long,Translated_Review,Sentiment_Score,O2_mg/l,O2_%,T_oC,ZICHT_m,INTTNLETRCCN_nKVE/dl,E_COLI_nKVE/dl,CHLFa_ug/l_blauwalg,FG,TG,SQ,DR,RH,Amenities_Score,Normalized_Amenities_Score
Gaasperplas,193,2023-10-08,Gaasperplas,official,52.3069241,4.9864444,"Beautiful park, very quiet",0.5994,,,,,,,,3.4,15.3,2.1,0.0,0.0,5.0,0.36
Gaasperplas,193,2023-09-20,Gaasperplas,official,52.3069241,4.9864444,Polecam,0.0,,,18.4,1.0,390.0,440.0,,8.2,18.6,1.8,0.0,0.0,5.0,0.36
Gaasperplas,193,2023-09-10,Gaasperplas,official,52.3069241,4.9864444,"Beautiful area of Amsterdam. Near Krainnest and Biljmer Arena. Also a nice camping park, river and soul rounding",0.7717,,,,,,,,2.8,24.7,11.6,0.0,0.0,5.0,0.36
Gaasperplas,193,2023-08-22,Gaasperplas,official,52.3069241,4.9864444,Lovely Lake,0.5859,,,22.5,1.0,20.0,670.0,,3.5,18.8,9.1,0.0,0.0,5.0,0.36
Gaasperplas,193,2023-08-07,Gaasperplas,official,52.3069241,4.9864444,"Home, the lake is full of beaches, perfect for a walk in the woods",0.5719,,,18.0,1.0,60.0,350.0,2.0,7.5,16.0,8.1,1.2,1.9,5.0,0.36
Gaasperplas,193,2023-07-31,Gaasperplas,official,52.3069241,4.9864444,"A beautiful and suitable place to relax in nature or integrate in a group, to walk alone or with another person, to picnic and run, clean, green and close to animals",0.8176,,,,,,,,7.8,18.0,0.6,7.3,16.8,5.0,0.36
Gaasperplas,193,2023-07-28,Gaasperplas,official,52.3069241,4.9864444,Great for swimming......,0.6249,4.4,48.0,18.7,0.5,,,,4.9,19.5,1.6,0.0,-0.1,5.0,0.36
Gaasperplas,193,2023-07-18,Gaasperplas,official,52.3069241,4.9864444,The dog beach is golden,0.0,,,,,,,,3.0,18.0,8.9,0.0,-0.1,5.0,0.36
Gaasperplas,193,2023-07-01,Gaasperplas,official,52.3069241,4.9864444,Relaxed atmosphere and enjoyable scenary.,0.7269,,,,,,,,6.7,17.5,0.4,6.2,5.5,5.0,0.36
Gaasperplas,193,2023-06-24,Gaasperplas,official,52.3069241,4.9864444,Great pace to be with friends and family,0.802,,,,,,,,2.8,21.5,14.9,0.0,0.0,5.0,0.36
Gaasperplas,193,2023-05-21,Gaasperplas,official,52.3069241,4.9864444,Quiet place,0.0,,,,,,,,4.3,16.3,8.8,0.0,0.0,5.0,0.36
Gaasperplas,193,2023-03-07,Gaasperplas,official,52.3069241,4.9864444,"Nice place to visit in spring and summer, very relaxing view.",0.7425,,,,,,,,4.2,2.2,0.5,6.4,3.4,5.0,0.36
Gaasperplas,193,2022-11-08,Gaasperplas,official,52.3069241,4.9864444,As advertised. A lake. Pretty good one at that,0.7269,6.3,58.0,10.7,0.6,,,,7.0,12.5,2.3,0.7,3.1,5.0,0.36
Gaasperplas,193,2022-10-06,Gaasperplas,official,52.3069241,4.9864444,"Beautiful park, quiet, safe, people fish and swim...you can see birds and fish! recommended to visit as many natural parks of this beautiful Amsterdam.",0.9359,9.0,89.0,15.3,4.5,,,0.8,6.3,13.3,10.1,0.0,0.0,5.0,0.36
Gaasperplas,193,2022-09-08,Gaasperplas,official,52.3069241,4.9864444,"Lovely swimming, hiking, walking the dog and enjoying nature!",0.8172,,,,,,,,4.2,18.0,6.4,3.2,5.7,5.0,0.36
Gaasperplas,193,2022-08-27,Gaasperplas,official,52.3069241,4.9864444,Great!,0.6588,,,,,,,,3.3,17.0,4.9,0.0,0.0,5.0,0.36
Gaasperplas,193,2022-08-15,Gaasperplas,official,52.3069241,4.9864444,deliciously fresh,0.6369,9.1,109.0,24.2,3.3,,,0.9,2.8,22.2,4.2,0.8,1.3,5.0,0.36
Gaasperplas,193,2022-07-05,Gaasperplas,official,52.3069241,4.9864444,this place is beautiful... the river has transparent water and if possible stay until sunset  an unforgettable image.,0.0,,,,,,,,4.0,16.1,10.8,0.0,0.0,5.0,0.36
Gaasperplas,193,2022-07-04,Gaasperplas,official,52.3069241,4.9864444,"Love this place, have had a lot of Family  BBQ's here. Nice park for a all ages. Must see place. This have had some changes over the year, yet it is the same.",0.7906,,,,,,,,4.3,17.3,13.4,0.0,0.0,5.0,0.36
Gaasperplas,193,2022-06-16,Gaasperplas,official,52.3069241,4.9864444,Lovely romp with the homd,0.5859,7.0,77.0,20.0,0.3,,,,1.9,18.9,12.8,0.0,0.0,5.0,0.36
Gaasperplas,193,2022-05-27,Gaasperplas,official,52.3069241,4.9864444,"So beautiful park to walk, run or have a bbq, picnic",0.6361,,,,,,,,7.2,13.9,9.8,0.5,0.4,5.0,0.36
Gaasperplas,193,2022-05-25,Gaasperplas,official,52.3069241,4.9864444,Beautiful natural area and that in Amsterdam.,0.7506,,,,,,,,8.0,14.0,5.7,0.3,0.2,5.0,0.36
Gaasperplas,193,2022-05-25,Gaasperplas,official,52.3069241,4.9864444,"can take nice quiet walks here, picnicking bbqs....and possibly swimming.",0.4215,,,,,,,,8.0,14.0,5.7,0.3,0.2,5.0,0.36
Gaasperplas,193,2022-04-13,Gaasperplas,official,52.3069241,4.9864444,Also nice for hiking.,0.4215,,,,,,,,3.3,13.3,2.8,0.0,-0.1,5.0,0.36
Gaasperplas,193,2022-03-18,Gaasperplas,official,52.3069241,4.9864444,Park and head into the city center,0.0,,,,,,,,3.5,8.7,10.9,0.0,0.0,5.0,0.36
Gaasperplas,193,2022-02-07,Gaasperplas,official,52.3069241,4.9864444,Quiet place,0.0,11.9,94.0,5.9,4.0,,,0.5,8.1,6.4,6.9,0.2,0.2,5.0,0.36
Gaasperplas,193,2022-02-06,Gaasperplas,official,52.3069241,4.9864444,Around Gaasperplas = one hour walk or half hour jog :),0.4588,,,,,,,,12.3,7.4,1.0,8.2,10.6,5.0,0.36
Gaasperplas,193,2021-12-14,Gaasperplas,official,52.3069241,4.9864444,Spectacular,0.0,,,,,,,,4.7,9.2,0.0,5.2,1.9,5.0,0.36
Gaasperplas,193,2021-09-27,Gaasperplas,official,52.3069241,4.9864444,My favorite piece of nature. Lovely to walk around the pond.,0.7783,,,,,,,,5.8,15.6,3.1,1.8,3.0,5.0,0.36
Gaasperplas,193,2021-09-19,Gaasperplas,official,52.3069241,4.9864444,Visited the park. There is a small artificial beach there. However the park is not well maintained I think.,-0.2057,,,,,,,,4.0,16.0,5.7,0.0,0.0,5.0,0.36
Gaasperplas,193,2021-08-26,Gaasperplas,official,52.3069241,4.9864444,The Gaasperplas is a beautiful connecting place between Amsterdam Southeast and Weesp. A nice location for runners and cyclists.,0.7717,,,,,,,,4.5,15.9,3.6,0.1,0.1,5.0,0.36
Gaasperplas,193,2021-07-22,Gaasperplas,official,52.3069241,4.9864444,"You will understand what peace is. If you are disturbed or irritated, come and visit this place. Green and blue will give relief to your mind",0.25,,,,,,,,3.3,18.2,11.4,0.0,0.0,5.0,0.36
Gaasperplas,193,2021-07-19,Gaasperplas,official,52.3069241,4.9864444,"Really nice park/lake/forest-ish to walk, run,bike around and swim. Also possible to windsurf here. Overall a nice walk!",0.7564,,,,,,,,2.8,18.3,8.8,0.0,0.0,5.0,0.36
Gaasperplas,193,2021-05-25,Gaasperplas,official,52.3069241,4.9864444,"This place is like heaven on earth! I would spend hours watching the birds and feeling the breeze in my hair. Endless green fields, rabbits everywhere and nice people walking their dogs..",0.8553,,,,,,,,6.5,10.5,4.8,0.9,1.3,5.0,0.36
