Location_Unique,Lat,Long,Status,Sentiment_Score_median,INTTNLETRCCN_nKVE/dl_median,E_COLI_nKVE/dl_median,CHLFa_ug/l_blauwalg_median,FG_median,TG_median,SQ_median,DR_median,RH_median,Normalized_Amenities_Score
Marineterrein,52.3728574,4.9145315,unofficial,0.765,50.0,350.0,0.55,4.3,18.2,6.0,0.2,0.1,0.43
Marineterrein,52.3728574,4.9145315,unofficial,,30.0,195.0,0.5,4.5,19.950000000000003,13.2,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.3818,,,0.5,4.35,6.65,2.9,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.9379,,,0.5,4.4,13.7,4.3,0.3,0.2,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.0,180.0,250.0,0.8,3.4,14.45,7.3,1.75,2.8499999999999996,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.0,25.0,250.0,0.75,3.4,19.8,9.0,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.6835,60.0,290.0,0.6,4.2,17.4,9.2,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.705,80.0,480.0,0.5,4.15,16.799999999999997,10.95,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.8642,30.0,290.0,0.5,4.0,14.0,9.0,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,,,,0.5,4.1,8.7,9.8,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.1348,,,0.5,7.8,6.949999999999999,3.85,2.1,1.5,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.8012,,,,3.3,8.1,1.45,0.9,0.4,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.08385,17.5,90.0,0.5,3.45,16.45,6.0,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,,30.0,270.0,0.5,4.5,17.0,5.6,0.1,0.1,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.765,20.0,110.0,0.6,3.55,17.85,8.149999999999999,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,,50.0,310.0,,4.4,11.1,5.9,1.2,1.3,0.43
Marineterrein,52.3728574,4.9145315,unofficial,,,,,4.2,6.3,3.3,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.3404,,,,5.6,11.5,2.4,1.7,2.1,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.2787,100.0,515.0,,4.55,15.35,5.95,0.0,0.0,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.6597,90.0,420.0,0.5,4.0,20.4,7.5,0.4,0.3,0.43
Marineterrein,52.3728574,4.9145315,unofficial,,110.0,250.0,0.5,4.7,15.35,5.449999999999999,0.8,0.6499999999999999,0.43
Marineterrein,52.3728574,4.9145315,unofficial,0.83205,20.0,270.0,1.4,3.8,18.1,8.4,0.0,0.0,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.5994,,,,6.0,8.8,2.2,3.65,3.9,0.43
Erasmuspark,52.3765421,4.8448668,unofficial,0.42755,,,,4.8,12.4,2.4,3.4,5.0,0.43
