locatie omschrijving,date,BADGT_n,CHLFa_ug/l_blauwalg,E_COLI_nKVE/dl,INTTNLETRCCN_nKVE/dl,O2_%,O2_mg/l,T_oC,ZICHT_m,FG,TG,SQ,DR,RH,PG,UG,EV24
",brug bij hondenstrand, zwemwater",2010-04-26,,,15.0,20.0,,,,,5.0,11.6,10.6,0.0,0.0,1024.3,84,3.3
",brug bij hondenstrand, zwemwater",2010-05-10,,,200.0,60.0,,,,,3.2,6.9,1.8,0.4,0.1,1011.5,73,1.5
",brug bij hondenstrand, zwemwater",2010-05-25,,,50.0,15.0,,,,,3.5,12.5,11.4,0.0,0.0,1013.7,67,3.8
",brug bij hondenstrand, zwemwater",2010-06-07,,,60.0,180.0,,,,,4.8,14.1,2.5,0.0,0.0,1010.6,86,1.7
",brug bij hondenstrand, zwemwater",2010-06-21,,,20.0,20.0,,,,,3.5,13.4,12.8,0.4,0.2,1022.0,71,4.3
",brug bij hondenstrand, zwemwater",2010-07-05,,,30.0,20.0,,,,,4.4,18.1,7.4,0.0,0.0,1020.2,69,4.0
",brug bij hondenstrand, zwemwater",2010-07-19,,46.0,80.0,15.0,,,,,2.1,20.6,13.7,0.0,0.0,1022.1,63,4.9
",brug bij hondenstrand, zwemwater",2010-08-02,,,20.0,30.0,,,,,2.9,17.3,3.7,0.6,0.2,1015.3,80,2.6
",brug bij hondenstrand, zwemwater",2010-08-16,,,2300.0,480.0,,,,,3.1,19.6,4.1,2.9,3.7,1007.4,84,2.3
",brug bij hondenstrand, zwemwater",2010-08-30,,,250.0,140.0,,,,,7.3,14.8,7.5,1.1,3.8,1016.3,73,2.3
",brug bij hondenstrand, zwemwater",2010-09-13,,,30.0,15.0,,,,,5.1,15.2,5.4,2.4,1.0,1023.5,78,2.2
1994 Hoofdenburgsingel,2009-04-08,,,,,31.0,3.4,10.5,0.4,6.7,8.6,4.2,4.8,3.0,1009.9,86,0.9
1994 Hoofdenburgsingel,2009-05-14,,,,,37.0,3.8,14.4,0.1,5.7,15.3,5.6,1.9,2.5,1008.3,65,3.3
1994 Hoofdenburgsingel,2009-06-12,,,,,22.0,2.3,14.1,0.3,4.4,13.1,15.2,0.0,-0.1,1021.0,72,4.9
1994 Hoofdenburgsingel,2009-07-10,,,,,9.0,0.9,16.2,0.3,7.8,14.9,1.6,5.2,3.1,1012.9,75,2.0
1994 Hoofdenburgsingel,2009-08-14,,,,,15.0,1.4,17.9,0.15,2.9,17.7,9.1,0.0,0.0,1018.0,71,3.3
1994 Hoofdenburgsingel,2009-09-10,,,,,23.0,2.3,16.0,0.4,4.8,15.9,8.5,0.0,0.0,1033.5,73,2.4
1994 Omgang/Populierenstraat,2008-02-18,,,,,,4.6,3.5,0.5,1.4,1.5,7.7,0.0,0.0,1034.0,91,0.9
1994 Omgang/Populierenstraat,2008-03-14,,,,,,9.3,7.5,0.6,5.0,7.4,9.0,0.0,-0.1,1010.8,80,1.9
1994 Omgang/Populierenstraat,2008-04-15,,,,,,9.3,9.2,0.6,3.9,6.2,9.3,3.9,5.9,1021.9,77,2.4
1994 Omgang/Populierenstraat,2008-05-27,,,,,,2.9,15.6,0.6,4.9,16.5,2.4,0.0,-0.1,1011.4,81,2.2
1994 Omgang/Populierenstraat,2008-06-18,,,,,,3.3,17.5,0.75,5.5,16.1,6.8,0.0,0.0,1013.7,68,3.4
1994 Omgang/Populierenstraat,2008-07-22,,,,,,2.7,16.3,0.7,4.4,16.0,7.9,0.0,-0.1,1024.1,81,3.5
1994 Omgang/Populierenstraat,2008-08-18,,,,,,1.7,17.8,0.6,4.7,16.3,0.9,4.9,2.2,1007.5,90,1.2
1994 Omgang/Populierenstraat,2008-09-16,,,,,,1.3,14.8,0.55,2.2,12.5,1.9,0.0,0.0,1024.9,79,1.5
1994 Omgang/Populierenstraat,2008-10-16,,,,,,2.5,13.5,0.65,5.8,11.1,3.8,3.4,5.0,1011.2,78,0.9
1994 Omgang/Populierenstraat,2008-11-20,,,,,,2.3,9.2,0.4,8.4,10.0,0.8,4.4,4.9,1010.2,84,0.3
1994 Omgang/Populierenstraat,2008-12-19,,,,,,2.8,3.6,0.6,6.0,6.1,4.3,5.8,7.6,1020.5,87,0.4
1994 Omgang/Populierenstraat,2009-01-23,,,,,,,3.6,,8.2,5.2,0.0,15.6,11.9,972.9,94,0.1
1994 Omgang/Populierenstraat,2009-02-18,,,,,,,3.4,,2.4,-0.1,3.0,0.0,0.0,1027.6,74,0.5
1994 Omgang/Populierenstraat,2009-03-20,,,,,,,7.4,,2.7,5.1,11.3,0.0,0.0,1032.9,67,2.0
1994 Omgang/Populierenstraat,2009-04-16,,,,,,,15.3,,3.5,14.1,3.3,0.9,3.0,1006.2,77,2.2
1994 Omgang/Populierenstraat,2009-05-14,,,,,,,15.4,,5.7,15.3,5.6,1.9,2.5,1008.3,65,3.3
1994 Omgang/Populierenstraat,2009-06-12,,,,,,,14.9,,4.4,13.1,15.2,0.0,-0.1,1021.0,72,4.9
1994 Omgang/Populierenstraat,2009-07-09,,,,,,,18.1,,6.9,15.7,7.1,0.3,0.2,1012.7,67,3.4
1994 Omgang/Populierenstraat,2009-08-07,,,,,,,21.0,,4.4,21.3,5.1,0.0,0.0,1017.3,72,3.0
1994 Omgang/Populierenstraat,2009-09-04,,,,,,,15.4,,9.5,15.0,6.0,4.3,13.6,1004.3,72,2.2
1994 Omgang/Populierenstraat,2009-10-06,,,,,,,12.9,,5.3,15.0,0.1,2.7,2.3,1009.3,93,0.6
1994 Omgang/Populierenstraat,2009-11-03,,,,,,,9.7,,6.3,7.2,0.3,4.6,4.4,991.0,96,0.3
1994 Omgang/Populierenstraat,2009-12-03,,,,,,,6.8,,6.2,8.1,0.0,6.1,4.3,997.1,94,0.1
1994 Prinses Irenelaan,2009-04-08,,,,,38.0,4.3,10.1,0.3,6.7,8.6,4.2,4.8,3.0,1009.9,86,0.9
1994 Prinses Irenelaan,2009-05-14,,,,,56.0,5.7,14.8,0.55,5.7,15.3,5.6,1.9,2.5,1008.3,65,3.3
1994 Prinses Irenelaan,2009-06-12,,,,,22.0,2.2,14.4,0.5,4.4,13.1,15.2,0.0,-0.1,1021.0,72,4.9
1994 Prinses Irenelaan,2009-07-10,,,,,17.0,1.6,17.7,0.5,7.8,14.9,1.6,5.2,3.1,1012.9,75,2.0
1994 Prinses Irenelaan,2009-08-14,,,,,34.0,3.1,19.4,0.5,2.9,17.7,9.1,0.0,0.0,1018.0,71,3.3
1994 Prinses Irenelaan,2009-09-10,,,,,5.0,0.5,16.3,0.4,4.8,15.9,8.5,0.0,0.0,1033.5,73,2.4
1994 v.Avercamplaan,2008-02-18,,,,,,12.9,2.5,0.5,1.4,1.5,7.7,0.0,0.0,1034.0,91,0.9
1994 v.Avercamplaan,2008-03-14,,,,,,12.1,8.1,0.4,5.0,7.4,9.0,0.0,-0.1,1010.8,80,1.9
1994 v.Avercamplaan,2008-04-15,,,,,,11.3,10.4,0.45,3.9,6.2,9.3,3.9,5.9,1021.9,77,2.4
1994 v.Avercamplaan,2008-05-27,,,,,,5.8,14.3,0.15,4.9,16.5,2.4,0.0,-0.1,1011.4,81,2.2
1994 v.Avercamplaan,2008-06-18,,,,,,5.0,18.1,0.3,5.5,16.1,6.8,0.0,0.0,1013.7,68,3.4
1994 v.Avercamplaan,2008-07-22,,,,,,2.1,16.2,0.35,4.4,16.0,7.9,0.0,-0.1,1024.1,81,3.5
1994 v.Avercamplaan,2008-08-18,,,,,,3.7,18.5,0.2,4.7,16.3,0.9,4.9,2.2,1007.5,90,1.2
1994 v.Avercamplaan,2008-09-16,,,,,,2.4,14.4,0.3,2.2,12.5,1.9,0.0,0.0,1024.9,79,1.5
1994 v.Avercamplaan,2008-10-16,,,,,,3.9,13.4,0.5,5.8,11.1,3.8,3.4,5.0,1011.2,78,0.9
1994 v.Avercamplaan,2008-11-20,,,,,,4.5,9.2,0.3,8.4,10.0,0.8,4.4,4.9,1010.2,84,0.3
1994 v.Avercamplaan,2008-12-19,,,,,,5.1,3.1,0.6,6.0,6.1,4.3,5.8,7.6,1020.5,87,0.4
1994 v.Avercamplaan,2009-01-28,,,,,,,2.0,,3.5,-1.4,6.8,0.0,0.0,1018.5,93,0.5
1994 v.Avercamplaan,2009-02-24,,,,,,,5.6,,2.5,4.3,3.6,0.0,0.0,1027.1,80,0.7
1994 v.Avercamplaan,2009-03-27,,,,,,,7.2,,8.1,6.7,4.8,0.2,0.1,996.4,75,1.5
1994 v.Avercamplaan,2009-04-22,,,,,70.0,7.2,14.4,0.35,4.0,9.5,12.2,0.0,0.0,1025.4,74,3.4
1994 v.Avercamplaan,2009-05-28,,,,,26.0,2.6,16.3,0.4,5.0,14.9,12.9,0.0,0.0,1027.9,78,4.5
1994 v.Avercamplaan,2009-06-15,,,,,48.0,4.6,17.7,0.5,2.2,15.9,4.7,1.0,1.8,1016.7,72,2.9
1994 v.Avercamplaan,2009-07-07,,,,,22.0,2.0,20.3,0.3,6.0,16.7,5.6,3.6,15.0,1003.3,79,2.8
