name,Location_Unique,Lat,Long,Status,review_datetime_utc,Sentiment_Score_mean,Sentiment_Score_median,Sentiment_Score_std,review_rating_mean,review_rating_median,review_rating_std,O2_mg/l_mean,O2_mg/l_median,O2_mg/l_std,O2_%_mean,O2_%_median,O2_%_std,T_oC_mean,T_oC_median,T_oC_std,ZICHT_m_mean,ZICHT_m_median,ZICHT_m_std,INTTNLETRCCN_nKVE/dl_mean,INTTNLETRCCN_nKVE/dl_median,INTTNLETRCCN_nKVE/dl_std,E_COLI_nKVE/dl_mean,E_COLI_nKVE/dl_median,E_COLI_nKVE/dl_std,BADGT_n_mean,BADGT_n_median,BADGT_n_std,CHLFa_ug/l_blauwalg_mean,CHLFa_ug/l_blauwalg_median,CHLFa_ug/l_blauwalg_std
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-09-01,0.743,0.743,0.0,3.0,3.0,0.0,,,,,,,,,,,,,50.0,50.0,0,850.0,850.0,0,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-06-01,0.3647,0.3647,0.0,4.666666666666667,5.0,0.5773502691896258,,,,,,,,,,,,,30.0,30.0,0,230.0,230.0,0,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-03-01,,,,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2023-01-01,,,,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-08-01,0.835,0.835,0.0,5.0,5.0,0.0,,,,,,,,,,,,,30.0,30.0,0,680.0,680.0,0,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-06-01,0.38585,0.38585,0.5456743030416588,5.0,5.0,0.0,,,,,,,,,,,,,380.0,380.0,0,8300.0,8300.0,0,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2022-03-01,0.4961333333333333,0.5106,0.06855452817526597,4.25,4.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-12-01,0.5719,0.5719,0.0,4.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-09-01,,,,5.0,5.0,0.0,,,,,,,,,,,,,140.0,140.0,0,24000.0,24000.0,0,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-08-01,,,,5.0,5.0,0.0,,,,,,,,,,,,,580.0,580.0,0,35000.0,35000.0,0,,,,,,
Bogortuin,Bogortuin,52.3767265,4.934715,unofficial,2021-06-01,0.64215,0.64215,0.2853175862087719,4.5,4.5,0.7071067811865476,,,,,,,,,,,,,30.0,30.0,0,17000.0,17000.0,0,,,,,,
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2023-08-01,0.765,0.765,0.0,4.0,4.0,1.4142135623730951,6.3999999999999995,6.8,0.6442049363362565,70.2,74.0,6.648308055437864,20.137500000000003,20.0,1.5221577729375777,1.1625,1.1,0.19955307206712847,145.45454545454547,50.0,216.48850483864666,3243.6363636363635,350.0,8262.508423871377,3.6666666666666665,2.0,4.725815626252609,0.55,0.55,0.07071067811865474
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2023-06-01,,,,5.0,5.0,0.0,9.1,9.1,0,97.0,97.0,0,20.733333333333334,20.7,1.9502136635080092,1.0,1.0,0.19999999999999996,26.666666666666668,30.0,9.83192080250175,226.66666666666666,195.0,134.8579499572297,5.0,5.0,1.4142135623730951,0.5,0.5,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2023-02-01,0.3818,0.3818,0.0,5.0,5.0,0.0,11.4,11.4,0,90.0,90.0,0,6.0,6.0,0,0.6,0.6,0,,,,,,,,,,0.5,0.5,0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-10-01,0.9379,0.9379,0.0,4.0,4.0,0.0,5.6,5.6,0,55.0,55.0,0,14.2,14.2,0,1.1,1.1,0,,,,,,,,,,0.5,0.5,0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-09-01,-0.0459,0.0,0.2740482256829991,4.25,5.0,1.5,,,,,,,17.400000000000002,16.8,3.73630833845388,1.0,1.0,0.0,176.66666666666666,180.0,95.04384952922169,2733.3333333333335,250.0,4301.259505462712,4.5,4.5,4.949747468305833,0.8,0.8,0.42426406871192857
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-08-01,0.14049999999999999,0.0,0.24335313846342727,3.8,5.0,1.7888543819998317,6.125,6.1,0.29860788111948205,71.25,71.0,2.9860788111948193,22.6,22.75,0.6301927142889365,0.9857142857142858,0.9,0.3338091841585121,42.0,25.0,33.51616525399845,272.0,250.0,160.81735671942323,2.6666666666666665,3.0,2.5166114784235836,1.075,0.75,0.8341662504161464
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-07-01,0.6835,0.6835,0.049356053326821074,4.8,5.0,0.44721359549995804,6.6,6.6,0,72.0,72.0,0,21.266666666666666,20.9,0.9073771725877469,1.0,1.0,0.0,78.0,60.0,40.8656334834051,1202.0,290.0,2019.9925742437767,3.0,3.0,0.0,0.6,0.6,0.14142135623730948
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-06-01,0.3804666666666667,0.705,0.6015003352728353,4.666666666666667,5.0,0.5773502691896258,6.0,6.0,0,62.0,62.0,0,18.633333333333336,18.1,1.8583146486355127,0.9333333333333332,1.0,0.30550504633038933,122.0,80.0,146.3557310118056,1950.0,480.0,3553.646015010499,3.5,3.5,2.1213203435596424,0.5,0.5,0.0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-05-01,0.8642,0.8642,0.0,3.0,3.0,0.0,9.2,9.2,0,88.0,88.0,0,15.833333333333334,15.9,1.6010413278030433,1.0333333333333334,1.0,0.05773502691896263,447.0,30.0,924.1996537545338,5008.0,290.0,10617.446491506327,2.0,2.0,0.0,0.5,0.5,0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-03-01,,,,3.5,3.5,0.7071067811865476,10.0,10.0,0,79.0,79.0,0,5.9,5.9,0,0.8,0.8,0,,,,,,,,,,0.5,0.5,0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2022-02-01,0.1348,0.1348,0.0,5.0,5.0,0.0,10.3,10.3,0,83.0,83.0,0,6.4,6.4,0,1.2,1.2,0,,,,,,,,,,0.5,0.5,0
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2021-11-01,0.8012,0.8012,0.0,5.0,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Buitenzwembad Marineterrein - Outdoor canal swimming,Marineterrein,52.3728574,4.9145315,unofficial,2021-09-01,0.08385000000000004,0.08385000000000004,1.0955205360923181,4.5,4.5,0.7071067811865476,,,,,,,17.7,17.7,0.7071067811865476,1.2,1.2,0.28284271247461895,38.5,17.5,41.636655858883664,2511.0,90.0,7550.810773243714,1.5,1.5,2.1213203435596424,0.5,0.5,0
