date,FG,TG,SQ,DR,RH,PG,UG,EV24
2007-01-02,7.0,6.3,1.3,4.5,5.6,1017.9,83,0.2
2007-01-03,7.3,7.1,0.3,2.1,0.4,1021.4,88,0.1
2007-01-04,10.7,9.6,0.0,1.1,0.8,1007.7,81,0.2
2007-01-05,6.7,9.4,0.0,2.3,1.2,1015.8,87,0.1
2007-01-06,4.1,7.3,0.3,8.5,8.8,1013.7,92,0.2
2007-01-07,7.8,8.0,0.0,5.0,4.5,1011.7,88,0.1
2007-01-08,8.8,9.4,4.5,7.3,5.0,1000.5,86,0.4
2007-01-09,13.4,12.8,0.4,0.3,0.1,1005.7,78,0.2
2007-01-10,10.8,10.2,0.0,4.4,4.2,1010.1,80,0.1
2007-01-11,13.3,8.5,0.0,6.4,4.9,1007.2,78,0.0
2007-01-12,11.3,10.4,0.4,0.0,-0.1,1017.3,80,0.2
2007-01-13,10.3,11.2,0.3,0.9,0.4,1016.8,86,0.2
2007-01-14,8.0,7.1,6.5,0.3,1.4,1026.0,78,0.6
2007-01-15,5.8,5.8,4.5,0.0,0.0,1023.7,88,0.4
2007-01-16,7.0,8.5,0.0,5.6,4.8,1016.3,94,0.1
2007-01-17,9.3,9.3,0.2,5.0,10.0,1007.5,89,0.1
2007-01-18,15.0,10.2,0.5,9.6,24.4,991.7,82,0.1
2007-01-19,9.4,10.1,4.1,3.6,2.6,1010.9,81,0.5
2007-01-20,12.0,10.3,1.8,2.3,1.8,1008.6,81,0.3
2007-01-21,10.5,7.0,2.8,1.6,2.0,1007.0,77,0.4
2007-01-22,4.9,3.3,2.9,1.4,0.5,1017.6,77,0.4
2007-01-23,1.8,-0.4,4.3,0.0,-0.1,1016.8,84,0.4
2007-01-24,2.4,-0.1,4.6,0.0,0.0,1011.6,92,0.4
2007-01-25,3.3,-0.7,7.3,0.0,0.0,1025.0,77,0.6
2007-01-26,6.0,3.7,0.0,3.7,3.3,1019.4,88,0.1
2007-01-27,4.9,5.0,2.2,1.3,1.4,1026.9,86,0.4
2007-01-28,9.1,7.6,0.4,1.2,0.5,1022.9,85,0.2
2007-01-29,5.2,8.3,0.7,0.5,0.3,1024.0,93,0.4
2007-01-30,4.5,7.9,0.0,0.0,-0.1,1024.6,90,0.3
2007-01-31,7.6,7.5,4.6,3.5,1.3,1020.5,85,0.6
2007-02-01,2.9,8.5,1.7,0.0,-0.1,1027.5,97,0.3
2007-02-02,4.8,7.4,1.0,0.0,0.0,1031.5,94,0.3
2007-02-03,3.3,5.4,7.5,0.0,0.0,1037.0,89,0.8
2007-02-04,1.3,3.9,2.5,0.0,0.0,1030.9,93,0.5
2007-02-05,2.1,2.8,0.3,1.3,1.4,1014.8,93,0.2
2007-02-06,3.1,0.9,1.0,2.2,1.2,1005.3,95,0.3
2007-02-07,3.8,0.8,4.1,0.4,0.4,1000.0,93,0.5
2007-02-08,4.7,-0.3,0.0,7.1,2.4,991.5,98,0.1
2007-02-09,3.7,2.0,1.0,0.0,-0.1,1003.0,92,0.3
2007-02-10,6.2,3.6,0.0,5.6,4.6,1002.3,94,0.2
2007-02-11,6.9,7.6,2.6,6.7,5.6,994.2,92,0.4
2007-02-12,7.7,8.2,1.1,6.1,3.9,988.4,91,0.4
2007-02-13,8.3,7.7,0.5,2.6,1.9,1003.5,89,0.4
2007-02-14,4.4,6.2,0.0,11.5,7.9,1003.9,94,0.2
2007-02-15,4.4,6.6,8.5,0.0,0.0,1020.3,83,1.1
2007-02-16,6.8,7.8,5.9,0.0,0.0,1016.1,67,0.9
2007-02-17,4.6,6.7,2.9,0.0,0.0,1012.0,74,0.7
2007-02-18,2.6,4.6,0.0,0.0,0.0,1016.3,92,0.2
2007-02-19,3.0,5.2,1.0,0.0,-0.1,1013.4,90,0.5
2007-02-20,3.1,7.8,0.8,2.1,0.4,1009.5,91,0.6
2007-02-21,5.5,8.1,0.2,7.2,6.0,1007.8,94,0.2
2007-02-22,5.1,8.0,3.1,0.9,0.1,1008.4,85,0.9
2007-02-23,5.5,9.1,2.7,0.4,0.7,1004.4,88,0.8
2007-02-24,7.0,9.2,1.0,4.5,6.3,995.6,91,0.4
2007-02-25,5.7,7.8,0.0,9.6,8.5,994.2,94,0.2
2007-02-26,7.4,7.2,0.0,1.8,0.8,1007.8,86,0.3
2007-02-27,6.9,6.8,0.0,11.2,5.1,1007.5,92,0.2
2007-02-28,12.2,9.8,4.9,2.1,1.6,992.6,82,1.1
2007-03-01,10.0,7.9,4.9,6.0,7.5,989.5,81,1.1
2007-03-02,6.1,6.0,3.9,0.2,0.2,1003.7,77,0.8
2007-03-03,6.0,6.0,3.2,7.9,12.1,1002.8,91,0.6
2007-03-04,5.6,8.1,1.5,0.0,-0.1,1013.6,84,0.8
2007-03-05,9.1,9.2,6.8,3.0,11.8,1010.5,76,1.3
2007-03-06,8.5,8.9,0.0,19.7,11.4,1003.0,91,0.2
2007-03-07,4.9,8.5,0.0,5.3,7.3,1001.4,94,0.4
2007-03-08,3.5,7.6,9.3,0.0,0.0,1020.2,90,1.6
2007-03-09,5.5,7.2,2.0,5.8,4.8,1025.1,89,0.5
2007-03-10,5.6,7.5,8.3,0.0,0.0,1034.6,85,1.6
2007-03-11,4.7,8.0,7.3,0.0,0.0,1031.9,91,1.6
2007-03-12,2.8,9.5,10.5,0.0,0.0,1026.3,76,2.0
