Location,Score,Normalized Score
Gaasperplas,5,0.36
Gaasperplas strand,4,0.29
Playground Gaasperplaspark,7,0.5
Waterspeelplaats Gaasperpark,7,0.5
Park de Oeverlanden,4,0.29
Swimming Nieuwemeer,3,0.21
Play island,4,0.29
Strand Blijburg,5,0.36
Strand Diemerpark,6,0.43
Ouderkerkerplas Strand,1,0.07
Ouderkerkerplas,1,0.07
Beach De Hoge Dijk,2,0.14
Sloterstrand,2,0.14
Sloterplas,3,0.21
Sloterplas Beach,2,0.14
Bogortuin,6,0.43
Buitenzwembad Marineterrein…,6,0.43
Kuuma Marineterrein,6,0.43
Youthland Outdoor Playground,6,0.43
Erasmuspark,6,0.43
De Ceuvel,2,0.14
Park schinkeleilanden,6,0.43
Park Somerlust,6,0.43
Stadshaven Amstelkwartier,6,0.43
