Location,Lat,Long,URL,Status,ID
Gaasperplas,52.3069241,4.9864444,"https://www.google.com/maps/place/Gaasperplas/@52.3069241,4.9864444,16z/data=!4m12!1m2!2m1!1sGaasperplas!3m8!1s0x47c60c5dbd560937:0xd8ce181a2c1f975b!8m2!3d52.3058653!4d4.994065!9m1!1b1!15sCgtHYWFzcGVycGxhc1oNIgtnYWFzcGVycGxhc5IBBGxha2WaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmhYelpwWkVGbkVBReABAA!16s%2Fg%2F11bc656tmn?entry=ttu",official,1
Gaasperplas strand,52.3060961,4.9879584,"https://www.google.com/maps/place/Gaasperplas+strand/@52.3060961,4.9879584,16z/data=!4m8!3m7!1s0x47c60c5953f214e3:0x7f45a567c92e45ff!8m2!3d52.3033199!4d4.9961471!9m1!1b1!16s%2Fg%2F11g_q6gpp?entry=ttu",official,2
Playground Gaasperplaspark,52.3092559,4.9883971,"https://www.google.com/maps/place/Playground+Gaasperplaspark/@52.3092559,4.9883971,17.75z/data=!4m8!3m7!1s0x47c60c686c4a0985:0xdb8c391e8815a2a!8m2!3d52.3102726!4d4.9887396!9m1!1b1!16s%2Fg%2F11cp5jxnxx?entry=ttu",official,3
Waterspeelplaats Gaasperpark,52.3092559,4.9883971,"https://www.google.com/maps/place/Waterspeelplaats+Gaasperpark/@52.3092559,4.9883971,17.75z/data=!4m8!3m7!1s0x47c60c6872e04a39:0x8219fdd3ab34edf3!8m2!3d52.3099224!4d4.9888716!9m1!1b1!16s%2Fg%2F11c549zllk?entry=ttu",official,4
Park de Oeverlanden,52.3349228,4.8191074,"https://www.google.com/maps/place/Park+de+Oeverlanden/@52.3349228,4.8191074,15.5z/data=!4m18!1m9!3m8!1s0x47c5e193882abb27:0x8a43187011b73614!2sHet+Nieuwe+Meer!8m2!3d52.3310779!4d4.8202918!9m1!1b1!16s%2Fg%2F121fqn0b!3m7!1s0x47c5e191a0a3dd53:0x177523d8f899245f!8m2!3d52.3353729!4d4.8234372!9m1!1b1!16s%2Fg%2F1hl3grhns?entry=ttu",official,5
Swimming Nieuwemeer,52.3323645,4.8460792,"https://www.google.com/maps/place/Swimming+Nieuwemeer/@52.3323645,4.8460792,18.5z/data=!4m8!3m7!1s0x47c5e17b9ed36781:0x7aa265a924e1e922!8m2!3d52.3324082!4d4.8469552!9m1!1b1!16s%2Fg%2F11fn0dbth4?entry=ttu",official,6
Strand Blijburg,52.3552096,5.0095073,"https://www.google.com/maps/place/Strand+Blijburg/@52.3552096,5.0095073,16z/data=!4m18!1m9!3m8!1s0x47c60f0d4613e195:0x716d2a2fbc060b5a!2sStrandlokaal+IJburg!8m2!3d52.3584025!4d5.0150898!9m1!1b1!16s%2Fg%2F11rsrjhsy5!3m7!1s0x47c60e85989c831b:0xd51e5ad8a08f2a01!8m2!3d52.3545945!4d5.020219!9m1!1b1!16s%2Fg%2F1218ryl4?entry=ttu",official,7
Strand Diemerpark,52.3542368,4.9866536,"https://www.google.com/maps/place/Strand+Diemerpark/@52.3542368,4.9866536,17.25z/data=!4m8!3m7!1s0x47c60eba8e43727b:0x511545b4b0d05b1b!8m2!3d52.3543534!4d4.9864125!9m1!1b1!16s%2Fg%2F12vsxkgdb?entry=ttu",official,8
Sloterstrand,52.366264,4.8166934,"https://www.google.com/maps/place/Sloterstrand/@52.366264,4.8166934,15.04z/data=!4m8!3m7!1s0x47c5e249858578bf:0x40b07627488c1829!8m2!3d52.371671!4d4.8229716!9m1!1b1!16s%2Fg%2F11c88m7b2l?entry=ttu",unofficial,9
Sloterplas,52.3650133,4.814011,"https://www.google.com/maps/place/Sloterplas/@52.3650133,4.814011,15.88z/data=!4m8!3m7!1s0x47c5e238281f1a35:0xb42e435c0f9a13df!8m2!3d52.3659555!4d4.8170706!9m1!1b1!16s%2Fg%2F1q6gbdvgh?entry=ttu",unofficial,10
Sloterplas Beach,52.3720176,4.822453,"https://www.google.com/maps/place/Sloterplas+Beach/@52.3720176,4.822453,16.93z/data=!4m8!3m7!1s0x47c5e249834f9df3:0xb0266e500ee556d2!8m2!3d52.3720139!4d4.8232412!9m1!1b1!16s%2Fg%2F11g82bh6bn?entry=ttu",unofficial,11
Bogortuin,52.3767265,4.934715,"https://www.google.com/maps/place/Bogortuin/@52.3767265,4.934715,17.58z/data=!4m8!3m7!1s0x47c609db592f1b8f:0x1c65096fa6ed83f2!8m2!3d52.3771001!4d4.9345422!9m1!1b1!16s%2Fg%2F11rb_sgh3x?entry=ttu",unofficial,12
Buitenzwembad Marineterrein…,52.3728574,4.9145315,"https://www.google.com/maps/place/Buitenzwembad+Marineterrein+-+Outdoor+canal+swimming/@52.3728574,4.9145315,18z/data=!4m8!3m7!1s0x47c6090dd75b1543:0x2fbff7523010be3c!8m2!3d52.3728574!4d4.9152115!9m1!1b1!16s%2Fg%2F11gjj2tvsg?entry=ttu",unofficial,13
Kuuma Marineterrein,52.3728574,4.9145315,"https://www.google.com/maps/place/Kuuma+Marineterrein/@52.3728574,4.9145315,18z/data=!4m8!3m7!1s0x47c60939c22c7873:0xce37901b4e030720!8m2!3d52.3733211!4d4.9163865!9m1!1b1!16s%2Fg%2F11rcxb63m0?entry=ttu",unofficial,14
Youthland Outdoor Playground,52.3604931,4.9530092,"https://www.google.com/maps/place/Youthland+Outdoor+Playground/@52.3604931,4.9530092,16.83z/data=!4m8!3m7!1s0x47c609469d4a9e0b:0x9f44837f90349920!8m2!3d52.3586717!4d4.9566106!9m1!1b1!16s%2Fg%2F119w_39n7?entry=ttu",unofficial,15
Park de Oeverlanden,52.3354292,4.8243266,"https://www.google.com/maps/place/Park+de+Oeverlanden/@52.3354292,4.8243266,14.54z/data=!4m8!3m7!1s0x47c5e191a0a3dd53:0x177523d8f899245f!8m2!3d52.3353729!4d4.8234372!9m1!1b1!16s%2Fg%2F1hl3grhns?entry=ttu",unofficial,16
