Location,Status,Reviewer,Rating,Relative time,Scraping time,Review
Gaasperplas,official,Diazepam,4 stars,2 weeks ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Misier Warsha,5 stars,a month ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Gisela Zabala,5 stars,a month ago,"2023-11-10,12:35:21",Hermoso  parque  muy tranquilo
Gaasperplas,official,kazik szerszen,5 stars,a month ago,"2023-11-10,12:35:21",Polecam
Gaasperplas,official,Jacek Lipiec,5 stars,a month ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Hagar Donners,5 stars,a month ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Hugo Leitão,5 stars,2 months ago,"2023-11-10,12:35:21","Beautiful area of Amsterdam. Near Krainnest and Biljmer Arena. Also a nice camping park, river and soul rounding"
Gaasperplas,official,SebastianGompka,5 stars,2 months ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Caro,4 stars,2 months ago,"2023-11-10,12:35:21",Lovely Lake
Gaasperplas,official,Kevin Scott,4 stars,2 months ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Riccardo Corinna,5 stars,3 months ago,"2023-11-10,12:35:21","Home, the lake is full of beaches, perfect for a walk in the woods"
Gaasperplas,official,Wróżka Anna,5 stars,3 months ago,"2023-11-10,12:35:21","Piękne i odpowiednie miejsce na odpoczynek na łonie natury lub integrację w grupie, na spacery samotne lub z drugą osobą, na piknik i bieganie, czysto, zielono i blisko zwierząt"
Gaasperplas,official,Angela Raalte,5 stars,3 months ago,"2023-11-10,12:35:21",Heerlijk om te zwemmen......
Gaasperplas,official,Domi Verhagen Domi Verhagen,5 stars,3 months ago,"2023-11-10,12:35:21",Het honden strandje is goud waard
Gaasperplas,official,Gustavo Delatorre,5 stars,4 months ago,"2023-11-10,12:35:21",Relaxed atmosphere and enjoyable scenary.
Gaasperplas,official,farhad nl,5 stars,4 months ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,S Ranjkar,5 stars,4 months ago,"2023-11-10,12:35:21",Great pace to be with friends and family
Gaasperplas,official,Anita Gobardhan,4 stars,5 months ago,"2023-11-10,12:35:21",Rustige plaats
Gaasperplas,official,Jane,3 stars,5 months ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Iris Vuurmans,4 stars,7 months ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Mateusz Mateusz,5 stars,7 months ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,lady vmg,4 stars,8 months ago,"2023-11-10,12:35:21","Agradable lugar para visitar en primavera y verano, vista muy relajada"
Gaasperplas,official,Magna Drowaa Fokuo,4 stars,10 months ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Iris Homer,5 stars,a year ago,"2023-11-10,12:35:21",As advertised. A lake. Pretty good one at that
Gaasperplas,official,Jan Javurek,5 stars,a year ago,"2023-11-10,12:35:21",NA
Gaasperplas,official,Nancy Castro,5 stars,a year ago,"2023-11-10,12:35:21","Hermoso parque,tranquilo,seguro,la gente pesca y nada...se observan aves y peces!recomendado para visitar como tantos parques naturales de esta bella Ámsterdam 🇳🇱👏"
Gaasperplas,official,RJ Lackie,5 stars,a year ago,"2023-11-10,12:35:22",NA
Gaasperplas,official,V,5 stars,a year ago,"2023-11-10,12:35:22","Heerlijk zwemmen, wandelen, hond uitlaten en genieten van natuur!"
Gaasperplas,official,Angelique Deshield,5 stars,a year ago,"2023-11-10,12:35:22",NA
Gaasperplas,official,Trinity Picault,5 stars,a year ago,"2023-11-10,12:35:22",Great!
Gaasperplas,official,Rilana Habets,5 stars,a year ago,"2023-11-10,12:35:22",NA
Gaasperplas,official,Marc De Lange,5 stars,a year ago,"2023-11-10,12:35:22",heerlijk fris
Gaasperplas,official,Wafaa Af,5 stars,a year ago,"2023-11-10,12:35:22",NA
Gaasperplas,official,Erwin Wilbers,4 stars,a year ago,"2023-11-10,12:35:22",NA
