Location,Location_Unique,Status,Reviewer,Rating,Relative time,Scraping time,Review
Gaasperplas,Gaasperplas,official,Diazepam,4 stars,3 weeks ago,"2023-11-13,00:10:35",NA
Gaasperplas,Gaasperplas,official,Misier Warsha,5 stars,a month ago,"2023-11-13,00:10:35",NA
Gaasperplas,Gaasperplas,official,Gisela Zabala,5 stars,a month ago,"2023-11-13,00:10:35",Hermoso  parque  muy tranquilo
Gaasperplas,Gaasperplas,official,kazik szerszen,5 stars,a month ago,"2023-11-13,00:10:35",Polecam
Gaasperplas,Gaasperplas,official,Jacek Lipiec,5 stars,a month ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Hagar Donners,5 stars,2 months ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Hugo Leitão,5 stars,2 months ago,"2023-11-13,00:10:36","Beautiful area of Amsterdam. Near Krainnest and Biljmer Arena. Also a nice camping park, river and soul rounding"
Gaasperplas,Gaasperplas,official,SebastianGompka,5 stars,2 months ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Caro,4 stars,2 months ago,"2023-11-13,00:10:36",Lovely Lake
Gaasperplas,Gaasperplas,official,Kevin Scott,4 stars,2 months ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Riccardo Corinna,5 stars,3 months ago,"2023-11-13,00:10:36","Home, the lake is full of beaches, perfect for a walk in the woods"
Gaasperplas,Gaasperplas,official,Wróżka Anna,5 stars,3 months ago,"2023-11-13,00:10:36","Piękne i odpowiednie miejsce na odpoczynek na łonie natury lub integrację w grupie, na spacery samotne lub z drugą osobą, na piknik i bieganie, czysto, zielono i blisko zwierząt"
Gaasperplas,Gaasperplas,official,Angela Raalte,5 stars,3 months ago,"2023-11-13,00:10:36",Heerlijk om te zwemmen......
Gaasperplas,Gaasperplas,official,Domi Verhagen Domi Verhagen,5 stars,3 months ago,"2023-11-13,00:10:36",Het honden strandje is goud waard
Gaasperplas,Gaasperplas,official,Gustavo Delatorre,5 stars,4 months ago,"2023-11-13,00:10:36",Relaxed atmosphere and enjoyable scenary.
Gaasperplas,Gaasperplas,official,farhad nl,5 stars,4 months ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,S Ranjkar,5 stars,4 months ago,"2023-11-13,00:10:36",Great pace to be with friends and family
Gaasperplas,Gaasperplas,official,Anita Gobardhan,4 stars,5 months ago,"2023-11-13,00:10:36",Rustige plaats
Gaasperplas,Gaasperplas,official,Jane,3 stars,5 months ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Iris Vuurmans,4 stars,7 months ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Mateusz Mateusz,5 stars,7 months ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,lady vmg,4 stars,8 months ago,"2023-11-13,00:10:36","Agradable lugar para visitar en primavera y verano, vista muy relajada"
Gaasperplas,Gaasperplas,official,Magna Drowaa Fokuo,4 stars,10 months ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Iris Homer,5 stars,a year ago,"2023-11-13,00:10:36",As advertised. A lake. Pretty good one at that
Gaasperplas,Gaasperplas,official,Jan Javurek,5 stars,a year ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Nancy Castro,5 stars,a year ago,"2023-11-13,00:10:36","Hermoso parque,tranquilo,seguro,la gente pesca y nada...se observan aves y peces!recomendado para visitar como tantos parques naturales de esta bella Ámsterdam 🇳🇱👏"
Gaasperplas,Gaasperplas,official,RJ Lackie,5 stars,a year ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,V,5 stars,a year ago,"2023-11-13,00:10:36","Heerlijk zwemmen, wandelen, hond uitlaten en genieten van natuur!"
Gaasperplas,Gaasperplas,official,Angelique Deshield,5 stars,a year ago,"2023-11-13,00:10:36",NA
Gaasperplas,Gaasperplas,official,Trinity Picault,5 stars,a year ago,"2023-11-13,00:10:37",Great!
Gaasperplas,Gaasperplas,official,Rilana Habets,5 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Marc De Lange,5 stars,a year ago,"2023-11-13,00:10:37",heerlijk fris
Gaasperplas,Gaasperplas,official,Wafaa Af,5 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Erwin Wilbers,4 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Renato Diniz,5 stars,a year ago,"2023-11-13,00:10:37",this place is beautiful... the river has transparent water and if possible stay until sunset 🌞 an unforgettable image. …
Gaasperplas,Gaasperplas,official,William Bastemeyer,4 stars,a year ago,"2023-11-13,00:10:37","Love this place, have had a lot of Family  BBQ's here. Nice park for a all ages. Must see place. This have had some changes over the year, yet it is the same."
Gaasperplas,Gaasperplas,official,Teun Verhaar,4 stars,a year ago,"2023-11-13,00:10:37",NA
Gaasperplas,Gaasperplas,official,Fariek Jahangier,5 stars,a year ago,"2023-11-13,00:10:37",NA
