locatiecode,locatie omschrijving,locatie x,locatie y,locatie z,compartiment,datum,fewsparameter,fewsparametercode,fewsparameternaam,fewsparametergrootheid,fewsparametereenheidequivalent,fewsparametereenheidreferentie,fewsparameterparameterfractie,limietsymbool,meetwaarde,eenheid,waardebewerkingsmethode,afronding,opmerkingmeting
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,16-4-2007 08:40,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,130.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,16-4-2007 08:50,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,16-4-2007 09:20,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,210.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,16-4-2007 09:30,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,30.0,n/dl,MET,Ja,
SBI005,Sloterplas West,116275,486977,,OW,16-4-2007 09:50,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,290.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,1-5-2007 07:45,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,50.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,1-5-2007 08:30,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,110.0,n/dl,MET,Ja,
SBI005,Sloterplas West,116275,486977,,OW,1-5-2007 09:10,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,140.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,1-5-2007 09:10,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,180.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,1-5-2007 09:25,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,180.0,n/dl,MET,Ja,
SBI017,Zwemwater zwemgedeelte zuidzijde,116108,486762,,OW,14-5-2007 09:25,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,610.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,14-5-2007 10:10,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,290.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,14-5-2007 10:20,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1400.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,14-5-2007 11:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,14-5-2007 11:30,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,90.0,n/dl,MET,Ja,
SBI005,Sloterplas West,116275,486977,,OW,4-6-2007 12:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,380.0,n/dl,MET,Ja,
SBI017,Zwemwater zwemgedeelte zuidzijde,116108,486762,,OW,4-6-2007 12:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,580.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,4-6-2007 12:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,350.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,4-6-2007 12:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,4-6-2007 12:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,250.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,4-6-2007 12:00,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,80.0,n/dl,MET,Ja,
GGP012,"Gaasperplas,speelvijver Noord",127820,480263,,OW,18-6-2007 08:55,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1000.0,n/dl,MET,Ja,
GGP032,Gaasperplas_ strand zuidoever,128307,479569,,OW,18-6-2007 09:05,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,60.0,n/dl,MET,Ja,
HBP012,Groenstrand_ Ouderkerkerplas,123493,478602,,OW,18-6-2007 09:30,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,1700.0,n/dl,MET,Ja,
HBP013,Zandstrand_ Ouderkerkerplas,123837,478606,,OW,18-6-2007 09:35,E_COLI_nKVE/dl,E_COLI,Escherichia coli (uitgedrukt in KVE/dl),AANTPVLME,KVE,,,,810.0,n/dl,MET,Ja,
