datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,conditions,description,icon
2007-06-02,22.7,12.0,18.2,22.7,12.0,18.2,12.8,72.6,0.0,0,0.0,,0,0.0,35.6,22.7,35.5,1021.0,8.1,16.1,,,,,0.55,Clear,Clear conditions throughout the day.,clear-day
2007-06-03,20.5,14.1,17.3,20.5,14.1,17.3,14.1,81.8,0.0,0,0.0,,0,0.0,14.8,14.2,43.6,1023.0,70.2,12.7,,,,,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-06-04,21.9,15.5,18.6,21.9,15.5,18.6,14.1,76.3,0.0,0,0.0,,0,0.0,40.0,24.8,40.4,1021.3,57.1,19.8,,,,,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-06-05,21.6,15.6,18.5,21.6,15.6,18.5,14.0,76.1,0.0,0,0.0,,0,0.0,40.0,26.2,34.9,1020.3,61.4,22.3,,,,,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-06-06,20.0,14.4,16.6,20.0,14.4,16.6,13.8,84.1,0.0,0,0.0,,0,0.0,35.6,21.1,9.3,1019.0,79.3,12.0,,,,,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-06-07,24.6,15.1,19.7,24.6,15.1,19.7,16.4,82.3,0.0,0,0.0,,0,0.0,14.8,21.4,25.0,1017.3,53.6,6.8,,,,,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
2007-06-08,27.9,17.6,21.9,29.2,17.6,22.1,18.3,81.0,5.508,100,4.17,rain,0,0.0,72.6,23.3,17.0,1014.4,40.7,8.4,,,,,0.75,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain
2007-06-09,20.6,15.7,17.7,20.6,15.7,17.7,16.4,92.3,1.325,100,12.5,rain,0,0.0,24.4,13.4,264.0,1016.4,94.5,3.7,,,,,0.8,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
2007-06-10,21.5,15.4,17.3,21.5,15.4,17.3,15.3,88.4,0.0,0,0.0,,0,0.0,18.4,15.9,312.6,1016.4,87.8,6.5,,,,,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2007-06-11,22.4,15.4,18.3,22.4,15.4,18.3,16.7,90.5,7.973,100,4.17,rain,0,0.0,14.2,17.0,327.8,1012.9,70.1,3.9,,,,,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
2007-06-12,17.6,14.3,15.7,17.6,14.3,15.7,14.4,91.8,0.049,100,8.33,rain,0,0.0,11.2,19.4,267.0,1010.0,99.4,6.6,,,,,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain
2007-06-13,19.5,15.5,17.3,19.5,15.5,17.3,14.7,85.0,0.044,100,4.17,rain,0,0.0,35.9,23.4,240.6,1007.1,79.9,8.2,,,,,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain
2007-06-14,21.5,13.5,17.5,21.5,13.5,17.5,15.8,89.9,18.947,100,12.5,rain,0,0.0,43.6,20.5,66.1,1006.1,90.3,4.7,,,,,0.97,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain
2007-06-15,20.3,16.9,18.6,20.3,16.9,18.6,15.7,84.5,11.391,100,8.33,rain,0,0.0,41.2,29.6,201.6,1001.0,88.4,15.7,,,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2007-06-16,19.5,14.9,16.7,19.5,14.9,16.7,13.6,82.1,3.424,100,12.5,rain,0,0.0,45.8,25.3,204.3,1003.6,80.6,25.8,,,,,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2007-06-17,18.9,14.3,16.1,18.9,14.3,16.1,13.4,84.4,10.328,100,8.33,rain,0,0.0,44.3,24.8,223.0,1004.4,89.4,21.3,,,,,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain
